avg color red,avg color green,avg color blue,entropy of red,entropy of green,entropy of blue,avg entropy,width,height,aspect ratio,area,size,compression ratio,bit depth,total pixels,hue,saturation,value,hue median,saturation median,value median,output
102.053975,120.4714667,133.4337167,6.201361984,6.248680054,6.49276663,6.314269556,600,600,1,360000,75664,0.210177778,24,360000,0.151824994,0.33502413,0.529931765,0.092592593,0.356164384,0.450980392,1
136.4641472,129.2361889,88.51097778,6.87332278,6.671270398,6.736372946,6.760322041,600,600,1,360000,85157,0.236547222,24,360000,0.513046426,0.503550324,0.555997876,0.531746032,0.618025751,0.462745098,1
187.9621905,197.4542955,211.1528807,4.322825933,4.540633505,4.572457547,4.478638995,1126,898,1.25389755,1011148,70482,0.069704929,24,1011148,0.312653593,0.194392023,0.862892882,0.378787879,0.045081967,0.956862745,1
151.931816,203.987259,226.4995535,5.345937399,6.346717373,6.971088964,6.221247912,1200,1200,1,1440000,228520,0.158694444,24,1440000,0.160467032,0.366154109,0.898069676,0.150406504,0.241106719,0.984313725,1
128.0907364,181.0901279,220.5814438,5.464987141,6.87979034,6.719637749,6.354805077,1024,1024,1,1048576,168100,0.160312653,24,1048576,0.275861344,0.426458772,0.870142724,0.107526882,0.372093023,0.984313725,1
42.2879625,138.5270563,211.3764312,4.04492845,6.258787424,4.179551135,4.82775567,400,400,1,160000,29513,0.18445625,24,160000,0.112207164,0.766467146,0.847362868,0.088624339,0.988235294,0.996078431,1
83.14017639,83.14017639,83.14017639,3.17591473,3.17591473,3.17591473,3.17591473,73,73,1,5329,2261,0.424282229,24,5329,0,0,0.326039907,0,0,0,1
118.3140845,128.1202613,147.2814935,6.211040967,6.065675817,5.755438545,6.010718443,960,783,1.22605364,751680,77158,0.102647403,24,751680,0.171696452,0.324965463,0.583487414,0.068181818,0.2,0.611764706,1
111.9373138,123.8207891,129.1366159,5.715570757,5.709153737,5.444789332,5.623171275,960,800,1.2,768000,93532,0.121786458,24,768000,0.099484129,0.289672513,0.50832813,0.073099415,0.098145175,0.349019608,1
224.3890036,142.4884594,138.3186339,6.415622774,6.63429988,5.471442261,6.173788305,73,73,1,5329,3685,0.691499343,24,5329,0.567647373,0.517896864,0.9466206,0.633699634,0.668874172,0.992156863,1
